Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.1432415423030805,-0.00010407280770521887,0.00010278131838473148,0.1431380062009159,0.14324207900862113,0.14334486032700586
t0,59963.96875183193,-1.1687225196510553e-05,1.1669231753330678e-05,59963.96874048146,59963.96875216869,59963.96876383792
inc,89.45432305562198,-0.04115255002263041,0.044236049279746226,89.41161502285982,89.45276757288245,89.4970036221622
a,17.968259484075343,-0.035750306833790546,0.035930301606974524,17.93245796446647,17.96820827130026,18.004138572907234
u1,0.017785986302750755,-0.0032811391193501016,0.003636617699792434,0.01432486860727539,0.017606007726625492,0.021242625426417926
u2,0.38738901008354515,-0.07050021881580215,0.08524664562984108,0.3093445918282074,0.37984481064400955,0.4650914562738506
c0,1.0067248563664253,-1.1918524546850051e-05,9.851078424771842e-06,1.0067142786542196,1.0067261971787664,1.0067360482571912
c1,0.0006649980182598565,-9.495551096763558e-05,0.00011182218930063802,0.0005594818629053823,0.0006544373738730178,0.0007662595631736559
r0,0.00028264499827647675,-3.8567963534008316e-05,3.917453655245573e-05,0.00024368674448643464,0.00028225470802044296,0.0003214292445728987
r1,46.30745543079678,-11.472051892069764,14.135157004637897,33.509652630963345,44.98170452303311,59.116861527671006
ypos,0.004093247290123396,-0.0008499017949217874,0.000854281419371568,0.003241656328713799,0.0040915581236355865,0.0049458395430071545
ywidth,-0.0002967960606120466,-0.001055908202976168,0.0010517391442139137,-0.0013520294845740875,-0.00029612128159791945,0.0007556178626159942
scatter_mult,1.5862253083588098,-0.017431890001814887,0.01761920349126167,1.5686756349522502,1.586107524954065,1.6037267284453267
