T_mid,Uncertainty,Label,Reference
2457584.329897,0.000032,K2,2017AJ....153..205D
2457904.73315165,0.0000465414486825466,HST,This work
2457910.45465204,0.00004581268876791,HST,This work
2458579.86858,0.0004288,TESS-I&W,Ivshina & Winn 2022
2458591.3117,0.0003547,TESS-I&W,Ivshina & Winn 2022
2459958.7472684877,3.3538934076204896e-05,JWST,This work
2459964.4687521686,1.1687225196510552e-05,JWST,This work
2460107.505874115,9.756411600392312e-06,JWST,This work
2460118.948881119,2.1302046661730856e-05,JWST,This work
2460130.3919121413,2.6637637347448617e-05,JWST,This work
2460776.9199578585,0.0002028350718319,TESS,This work
2460794.084387595,0.0002075536176562,TESS,This work
